,Carrier,Origin,Destination,NumFlights,AvgProbDelayed
250,American Airlines Inc.,DFW,TPA,109,0.28464285121074323
251,American Airlines Inc.,DFW,TUL,122,0.2131166000529629
252,American Airlines Inc.,DFW,TUS,131,0.1921250625190551
253,American Airlines Inc.,DFW,VPS,30,0.23333333335375497
254,American Airlines Inc.,DFW,XNA,9,0.22246740427479356
255,American Airlines Inc.,DSM,DFW,57,0.2987697505546083
256,American Airlines Inc.,DSM,PHX,38,0.07900993315856433
257,American Airlines Inc.,DTW,CLT,74,0.21619721517717205
258,American Airlines Inc.,DTW,DFW,99,0.161493887723968
259,American Airlines Inc.,DTW,MIA,46,0.21743817125534096
260,American Airlines Inc.,DTW,ORD,15,0.13333325813153346
261,American Airlines Inc.,DTW,PHL,32,0.21546436679621267
262,American Airlines Inc.,DTW,PHX,44,0.18179799533532112
263,American Airlines Inc.,EGE,DFW,28,0.2856739045634392
264,American Airlines Inc.,EGE,JFK,2,0.49999999688165225
265,American Airlines Inc.,EGE,LAX,7,0.1428264433450597
266,American Airlines Inc.,EGE,MIA,8,0.12500000531844607
267,American Airlines Inc.,EGE,ORD,7,0.14284831072003865
268,American Airlines Inc.,ELP,DFW,68,0.19114923651390373
269,American Airlines Inc.,ELP,ORD,18,0.11110994859667571
270,American Airlines Inc.,EWR,CLT,140,0.16427136726367014
271,American Airlines Inc.,EWR,DFW,74,0.13582024833502482
272,American Airlines Inc.,EWR,MIA,55,0.1454498336959102
273,American Airlines Inc.,EWR,ORD,57,0.12365801877084763
274,American Airlines Inc.,EWR,PHX,69,0.2173835524063328
275,American Airlines Inc.,FAT,DFW,39,0.07692097028575273
276,American Airlines Inc.,FAT,PHX,6,5.907172145338614e-09
277,American Airlines Inc.,FLL,CLT,131,0.12956220168135868
278,American Airlines Inc.,FLL,DFW,116,0.20704624878409644
279,American Airlines Inc.,FLL,ORD,38,0.15789308937555177
280,American Airlines Inc.,FLL,PHL,75,0.25330652368153034
281,American Airlines Inc.,GEG,DFW,18,0.22221823332239518
282,American Airlines Inc.,GEG,PHX,44,0.045454558963829154
283,American Airlines Inc.,GRR,DFW,25,0.2399778500236997
284,American Airlines Inc.,GRR,PHX,1,3.3132543319544586e-07
285,American Airlines Inc.,GSO,CLT,7,0.285683624662488
286,American Airlines Inc.,GSP,DFW,42,0.19047558535131667
287,American Airlines Inc.,GUC,DFW,9,0.11111112127347399
288,American Airlines Inc.,HDN,DFW,3,0.33332487392813404
289,American Airlines Inc.,HNL,DFW,43,0.1163153492622246
290,American Airlines Inc.,HNL,LAX,87,0.04620307380515676
291,American Airlines Inc.,HNL,ORD,2,0.5000000951822222
292,American Airlines Inc.,HNL,PHX,28,0.10714061713137173
293,American Airlines Inc.,IAD,CLT,8,0.24999668396829233
294,American Airlines Inc.,IAD,DFW,90,0.20092006211328264
295,American Airlines Inc.,IAD,LAX,29,0.13790136161570807
296,American Airlines Inc.,IAD,MIA,37,0.2162073774757306
